density, vertices, edges, components, max component, min component, raw average, weighted average, burn count
0.01, 9942, 214, 9728, 3, 1, 1.0219984, 1.0442567, 0.010381999
0.02, 19868, 772, 19096, 4, 1, 1.0404273, 1.0813369, 0.021484
0.03, 30023, 1776, 28247, 6, 1, 1.062874, 1.1291677, 0.033901
0.04, 40124, 3260, 36866, 8, 1, 1.0883741, 1.1849267, 0.047544
0.05, 50173, 5103, 45074, 8, 1, 1.1131251, 1.2383354, 0.062131
0.06, 60220, 7306, 52926, 8, 1, 1.1378151, 1.2953836, 0.078007996
0.07, 70382, 9972, 60433, 8, 1, 1.1646286, 1.3553181, 0.09538999
0.08, 80280, 12974, 67346, 8, 1, 1.192053, 1.416866, 0.113745995
0.09, 90281, 16391, 73952, 9, 1, 1.2208054, 1.4830917, 0.13389501
0.10, 100290, 20353, 80024, 9, 1, 1.253249, 1.557922, 0.156244
0.11, 110154, 24486, 85809, 10, 1, 1.2837116, 1.6325871, 0.179836
0.12, 120177, 29109, 91271, 11, 1, 1.3167052, 1.7096033, 0.205455
0.13, 130066, 33996, 96340, 11, 1, 1.3500726, 1.7937355, 0.23330401
0.14, 140184, 39473, 101066, 13, 1, 1.387054, 1.8874193, 0.264586
0.15, 150194, 45232, 105445, 13, 1, 1.4243823, 1.9868703, 0.29841602
0.16, 160087, 51424, 109309, 13, 1, 1.4645363, 2.0922186, 0.334937
0.17, 170036, 58012, 112850, 16, 1, 1.5067434, 2.2096026, 0.375712
0.18, 180081, 64903, 116196, 16, 1, 1.5498037, 2.3244708, 0.41859302
0.19, 190199, 72379, 119110, 20, 1, 1.5968349, 2.4659383, 0.46901903
0.20, 200079, 80065, 121590, 21, 1, 1.6455219, 2.6014276, 0.520491
0.21, 210101, 88151, 123862, 22, 1, 1.6962507, 2.7509675, 0.577981
0.22, 220326, 96977, 125705, 29, 1, 1.7527226, 2.9236948, 0.644166
0.23, 230195, 105751, 127235, 30, 1, 1.8092113, 3.0993767, 0.71346104
0.24, 240075, 115078, 128291, 30, 1, 1.8713316, 3.30343, 0.793071
0.25, 249961, 124772, 129047, 32, 1, 1.9369764, 3.5206492, 0.880025
0.26, 259858, 134851, 129551, 32, 1, 2.0058355, 3.752511, 0.97512007
0.27, 269777, 145479, 129611, 39, 1, 2.081436, 4.0122733, 1.082419
0.28, 279911, 156653, 129431, 39, 1, 2.1626272, 4.3009777, 1.203891
0.29, 290055, 168206, 128951, 40, 1, 2.2493427, 4.62163, 1.3405269
0.30, 300182, 180290, 128065, 41, 1, 2.3439815, 4.9842896, 1.4961941
0.31, 310226, 192612, 126940, 51, 1, 2.443879, 5.380071, 1.6690379
0.32, 320162, 204977, 125741, 56, 1, 2.5462022, 5.8081284, 1.859542
0.33, 330081, 217750, 124157, 56, 1, 2.6585774, 6.283691, 2.074127
0.34, 340145, 231093, 122431, 56, 1, 2.7782588, 6.824851, 2.3214388
0.35, 350231, 245013, 120282, 72, 1, 2.9117491, 7.4730763, 2.617303
0.36, 360133, 259014, 117967, 72, 1, 3.0528283, 8.166436, 2.941003
0.37, 370090, 273465, 115481, 88, 1, 3.2047696, 8.929531, 3.3047302
0.38, 380194, 288394, 112829, 88, 1, 3.369648, 9.862949, 3.7498343
0.39, 390138, 303625, 109843, 98, 1, 3.5517786, 10.919008, 4.25992
0.40, 400217, 319488, 106563, 103, 1, 3.7556844, 12.219658, 4.890515
0.41, 410262, 335822, 103068, 131, 1, 3.9804983, 13.794789, 5.6594777
0.42, 420290, 352534, 99518, 138, 1, 4.223256, 15.538381, 6.530626
0.43, 430415, 369927, 95571, 159, 1, 4.503615, 17.767939, 7.6475873
0.44, 440288, 387171, 91674, 188, 1, 4.8027577, 20.356485, 8.962716
0.45, 450311, 404909, 87626, 250, 1, 5.1390114, 23.511148, 10.587329
0.46, 460074, 422811, 83520, 258, 1, 5.5085487, 27.696714, 12.742538
0.47, 470172, 441630, 79149, 267, 1, 5.9403405, 32.667038, 15.359126
0.48, 480118, 460619, 74817, 329, 1, 6.4172316, 39.20424, 18.82266
0.49, 490209, 480211, 70341, 441, 1, 6.9690366, 47.757687, 23.41125
0.50, 500047, 499478, 66097, 486, 1, 7.565351, 58.983025, 29.494286
0.51, 509871, 519348, 61711, 671, 1, 8.2622385, 75.27945, 38.38281
0.52, 519975, 540269, 57143, 791, 1, 9.09954, 99.362076, 51.665794
0.53, 530176, 561675, 52712, 1497, 1, 10.057976, 141.96257, 75.265144
0.54, 540246, 583094, 48379, 2181, 1, 11.166952, 210.67755, 113.8177
0.55, 550193, 604576, 44231, 3261, 1, 12.439081, 335.9247, 184.82343
0.56, 560278, 627116, 40063, 6540, 1, 13.984923, 715.65735, 400.96707
0.57, 570316, 649749, 36180, 9284, 1, 15.763294, 1621.9125, 925.0027
0.58, 580443, 673036, 32274, 28472, 1, 17.984848, 5512.7266, 3199.8237
0.59, 590528, 696472, 28841, 162959, 1, 20.475296, 55810.438, 32957.625
0.60, 600632, 720766, 25614, 445081, 1, 23.449364, 329963.22, 198186.47
0.61, 610417, 744389, 22841, 511030, 1, 26.724619, 427842.94, 261162.61
0.62, 620247, 768543, 20340, 544118, 1, 30.493954, 477345.88, 296072.34
0.63, 630272, 793604, 18064, 574489, 1, 34.891052, 523649.88, 330041.84
0.64, 640281, 818952, 15926, 595955, 1, 40.203503, 554703.75, 355166.28
0.65, 650167, 844513, 14158, 616428, 1, 45.922234, 584440.56, 379983.97
0.66, 660083, 870488, 12461, 632991, 1, 52.971912, 607011.4, 400677.88
0.67, 670038, 896884, 10961, 648355, 1, 61.129276, 627373.9, 420364.3
0.68, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.69, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.70, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.71, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.72, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.73, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.74, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.75, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.76, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.77, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.78, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.79, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.80, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.81, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.82, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.83, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.84, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.85, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.86, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.87, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.88, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.89, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.90, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.91, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.92, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.93, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.94, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.95, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.96, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.97, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.98, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
0.99, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
1.00, 672008, 902210, 10660, 651247, 1, 63.04015, 631127.6, 424122.8
